scenario_name,start_spread,price_path,tick_count,start_long_size,end_long_size,long_size_delta,start_short_size,end_short_size,start_long_avg,end_long_avg,long_avg_delta,start_short_avg,end_short_avg,start_spread_value,end_spread_value,spread_delta,spread_reduced,final_state,total_heal_count,total_heal_fill_count,total_filled_order_count,heal_blocked_by_cooldown_count,heal_blocked_by_guard_count
recovery_spread_healing_case,2.5,"99.50,99.00,98.70,98.40,98.10,97.90",6,1000.0,1001.5,1.5,500.0,500.25,100.0,99.99815277084375,-0.0018472291562545706,97.5,97.50074962518741,0.02531645569620253,0.025290298987570698,-2.615670863183317e-05,yes,recovery,3,3,4,2,0
recovery_spread_healing_case_2,2.4000000000000057,"96.50,96.10,95.90,95.60,95.40,95.20",6,1400.0,1401.5,1.5,700.0,700.25,97.9,97.89789511237962,-0.0021048876203906275,95.5,95.50021420921098,0.02481902792140647,0.024795287933054907,-2.3739988351562102e-05,yes,recovery,3,3,4,2,0
deep_trace_spread_3_0,3.0,"99.00,98.00,97.00,96.00,95.00,93.00,92.00,93.00,94.00,95.00,96.00,97.00",12,1000.0,1002.0,2.0,500.0,500.25,100.0,99.99151696606786,-0.008483033932137118,97.0,97.00049975012493,0.030456852791878174,0.030366887611005103,-8.996518087307087e-05,yes,recovery,4,4,5,2,5
deep_trace_spread_3_5,3.5,"99.00,98.00,97.00,96.00,95.00,93.00,92.00,93.00,94.00,95.00,96.00,97.00",12,1000.0,1002.0,2.0,500.0,500.25,100.0,99.99151696606786,-0.008483033932137118,96.5,96.50074962518741,0.035623409669211195,0.03553083692746009,-9.257274175110408e-05,yes,recovery,4,4,5,2,5
