symbol,start,end,classification,expected_seconds,raw_seconds,ch_seconds,common_seconds,missing_raw_seconds,missing_ch_seconds,max_mid_abs_error,max_bid_qty_l50_abs_error,max_ask_qty_l50_abs_error,max_imbalance_l50_abs_error,genuine_carried_forward_mismatches,raw_min_level_count,source_records,uses_final,raw_root,reason
BTCUSDT,2026-08-25T12:00:00Z,2026-08-25T12:05:00Z,NOT_COMPARABLE,300,300,300,300,0,0,20.65000000,20.05400000,22.11900000,1.5704999141923235,0,200,35998,False,/home/telgenbuescher/projects/orderbook_analyse/data/orderbook_raw_shadow/ob200_v3,"Both sources have complete timestamp/quality coverage, but value divergence exceeds tolerance and the causal source-semantic difference has not been proven."
BTCUSDT,2026-08-26T06:30:00Z,2026-08-26T06:35:00Z,NOT_COMPARABLE,300,300,300,300,0,0,9.20000000,13.56900000,16.04300000,0.6814136997334573,0,200,35990,False,/home/telgenbuescher/projects/orderbook_analyse/data/orderbook_raw_shadow/ob200_v3,"Both sources have complete timestamp/quality coverage, but value divergence exceeds tolerance and the causal source-semantic difference has not been proven."
BTCUSDT,2026-08-28T15:00:00Z,2026-08-28T15:05:00Z,NOT_COMPARABLE,300,300,300,300,0,0,85.75000000,27.34500000,24.47000000,1.0246031319363444,0,200,36000,False,/home/telgenbuescher/projects/orderbook_analyse/data/orderbook_raw_shadow/ob200_v3,"Both sources have complete timestamp/quality coverage, but value divergence exceeds tolerance and the causal source-semantic difference has not been proven."
DOGEUSDT,2026-08-25T12:00:00Z,2026-08-25T12:05:00Z,NOT_COMPARABLE,300,300,300,300,0,0,0.00002000,11118981.00000000,11999283.00000000,0.1564900313192333,0,200,33990,False,/home/telgenbuescher/projects/orderbook_analyse/data/orderbook_raw_shadow/ob200_v3,"Both sources have complete timestamp/quality coverage, but value divergence exceeds tolerance and the causal source-semantic difference has not been proven."
DOGEUSDT,2026-08-26T06:30:00Z,2026-08-26T06:35:00Z,NOT_COMPARABLE,300,300,300,300,0,0,0.00003000,4060589.00000000,8209733.00000000,0.0993655641440998,0,200,31591,False,/home/telgenbuescher/projects/orderbook_analyse/data/orderbook_raw_shadow/ob200_v3,"Both sources have complete timestamp/quality coverage, but value divergence exceeds tolerance and the causal source-semantic difference has not been proven."
DOGEUSDT,2026-08-28T15:00:00Z,2026-08-28T15:05:00Z,NOT_COMPARABLE,300,300,300,300,0,0,0.00014000,11856578.00000000,13496541.00000000,0.238395229749366,0,200,34892,False,/home/telgenbuescher/projects/orderbook_analyse/data/orderbook_raw_shadow/ob200_v3,"Both sources have complete timestamp/quality coverage, but value divergence exceeds tolerance and the causal source-semantic difference has not been proven."
