source_relative_path,file_name,symbol,segment_start,segment_end,file_size,compression,source_fingerprint,parser_version,event_count,import_status,import_batch_id,first_event_time,last_event_time,duplicate_status,overlap_status,error_status
BTCUSDT/2026/08/31/BTCUSDT_20260831T180000Z_20260831T190000Z_ob200_v3.zst,BTCUSDT_20260831T180000Z_20260831T190000Z_ob200_v3.zst,BTCUSDT,2026-08-31T18:00:00.021000Z,2026-08-31T19:00:00.018000Z,10200356,zstd,ca6c396738439faccc5ffb8a1ef3f51879c9043ca3841b3bcab7237c58387350,ob200_v3,35999,WINDOW_FILTERED_COMPLETE_FILE_READ,phase1:btc_run_018,2026-08-31T17:59:59.929000Z,2026-08-31T18:59:59.829000Z,NONE_DETECTED,SEGMENT_BOUNDARY_CHECKPOINT,
BTCUSDT/2026/08/31/BTCUSDT_20260831T190000Z_20260831T200000Z_ob200_v3.zst,BTCUSDT_20260831T190000Z_20260831T200000Z_ob200_v3.zst,BTCUSDT,2026-08-31T19:00:00.018000Z,2026-08-31T20:00:00.017000Z,9431995,zstd,e7d6817f15883e72b139c0af9b0e834b4bb7408064259d6a85270fa68314f425,ob200_v3,35999,WINDOW_FILTERED_COMPLETE_FILE_READ,phase1:btc_run_018,2026-08-31T18:59:59.929000Z,2026-08-31T19:59:59.829000Z,NONE_DETECTED,SEGMENT_BOUNDARY_CHECKPOINT,
DOGEUSDT/2026/08/29/DOGEUSDT_20260829T110000Z_20260829T120000Z_ob200_v3.zst,DOGEUSDT_20260829T110000Z_20260829T120000Z_ob200_v3.zst,DOGEUSDT,2026-08-29T11:00:00.069000Z,2026-08-29T12:00:00.065000Z,1428291,zstd,ca1a812004f0c8e4527668313b678cd6137521b670fcba5a34ea5594b2d939e2,ob200_v3,26761,WINDOW_FILTERED_COMPLETE_FILE_READ,phase1:doge_20260829_1145_1230,2026-08-29T10:59:59.980000Z,2026-08-29T11:59:59.880000Z,NONE_DETECTED,SEGMENT_BOUNDARY_CHECKPOINT,
DOGEUSDT/2026/08/29/DOGEUSDT_20260829T120000Z_20260829T130000Z_ob200_v3.zst,DOGEUSDT_20260829T120000Z_20260829T130000Z_ob200_v3.zst,DOGEUSDT,2026-08-29T12:00:00.065000Z,2026-08-29T13:00:00.068000Z,1421959,zstd,1f6569175c9c6476a9c9c795e1f2a2f6f160b2720e24966767c8a87573f9d186,ob200_v3,26321,WINDOW_FILTERED_COMPLETE_FILE_READ,phase1:doge_20260829_1145_1230,2026-08-29T11:59:59.981000Z,2026-08-29T12:59:59.880000Z,NONE_DETECTED,SEGMENT_BOUNDARY_CHECKPOINT,
